id,name,caption
ROCO_00020,PMC3970251_CRIONM2014-931546.003.jpg," Axial computed tomography scan of the pelvis showing a diffuse infiltration of the bladder wall, catheter in situ (arrow).
"
ROCO_00027,PMC2766744_cios-1-176-g005.jpg," Postoperative anteroposterior radiograph of the pelvis.
"
ROCO_00059,PMC3789931_poljradiol-78-3-35-g001.jpg," Angiography of the internal carotid artery, late arterial phase. (A) – venous drainage of the AVM, (B) – main arterial supplying vessel, arrow – AVM nidus.
"
ROCO_00062,PMC2676075_p147_fig4a.jpg," Case 4: (A) pretreatment radiograph; (B) Root-canal filled showing one canal with a lot of foraminas around the apical area.
"
ROCO_00068,PMC5292123_CRIGM2017-1710501.002.jpg," Preintervention MRCP revealing a nine-millimeter stone in the cystic duct (marked with arrow).
"
ROCO_00073,PMC4756892_CMJ-128-2946-g004.jpg," A postoperative radiograph shows reduction with Rockwood pin application.
"
ROCO_00076,PMC2494540_1757-1626-1-52-1.jpg," MRI showing complete occlusion of proximal 4 cm of left subclavian artery with retrograde filling via the left vertebral.
"
ROCO_00079,PMC3339065_NAJMS-2-392-g001.jpg," Barium meal follow through X-ray showed dilatation of the second part of duodenum with compression of the third part.
"
ROCO_00082,PMC2636159_IndianJOphthalmol-56-269-g003.jpg," Graft host junction (GH Jn) synechia on UBM (copyright owner Lippincott, Williams and Wilkins, 2008)
"
ROCO_00099,PMC5625558_1657-9534-cm-48-02-00088-gf1.jpg," Cardiac catheterization showed arteriovenous malformations (arrows) on the left lung in the patient with Hereditary hemorrhagic telangiectasia.
"
ROCO_00108,PMC3856271_ce-46-666-g003.jpg," Chest radiograph obtained after endoscopic submucosal dissection showing left pleural fluid with subsegmental collapse of the left lower lobe.
"
ROCO_00113,PMC4998305_medi-95-e3819-g007.jpg," Computerized tomography image 6 month after surgery (right after the secondary surgery in our department for titanium mesh implantation): bony defect in the inferior orbital wall was repaired by titanium mesh anatomically.
"
ROCO_00114,PMC4244664_s13089-014-0014-0-1.jpg," Ultrasound of anterior leg at rest is normal without any mass.
"
ROCO_00118,PMC4329685_IJRI-25-31-g003.jpg," Axial T2W image revealing cholecystoduodenal fistula (marked with arrow). The gallbladder is collapsed, thickened, and adherent to the second part of duodenum
"
ROCO_00122,PMC4932793_OJO-9-110-g001.jpg," Contrast-enhanced computerized tomography abdomen axial scan showing collection of fluid around pancreas along with inflammation (green arrows)
"
ROCO_00130,PMC5672723_JHRS-10-178-g002.jpg," A normal size uterine cavity with both fallopian tubes demonstrated and there was free spillage of the contrast material. Both the cervical canal and the uterine cavity are normal in outline
"
ROCO_00134,PMC4840574_rjw058f02.jpg," CT image (axial slice) showing gas within the scrotum and penile shaft.
"
ROCO_00136,PMC4793551_rjw03405.jpg," The follow-up CT scan shows residual hematoma in the orbital cavity; no retained foreign bodies or intracranial hemorrhaging.
"
ROCO_00151,PMC5565498_WJO-8-651-g001.jpg," Lateral plain radiograph showed inferior screws pullout and anterior displacement of the plate.
"
ROCO_00167,PMC3582869_cios-5-36-g003.jpg," Measurement of medial femoral osteophyte size and medial tibial osteophyte size on a standing anteroposterior radiograph of the knee. Osteophyte size was defined as the largest perpendicular distance from the cortical line to the outer margin of an osteophyte.
"
ROCO_00173,PMC4840905_13018_2016_383_Fig1_HTML.jpg," Satisfactory femoral neutral alignment was achieved if three points of bony apposition (arrows) were obtained at the calcar proximally, on the lateral endosteal surface in the middle, and at the medial endosteal surface with the tip of the stem distally as shown in the figure
"
ROCO_00180,PMC4775779_CRIONM2016-2672671.001.jpg," CT scan (pretreatment) showing lymph nodes.
"
ROCO_00183,PMC4344975_ijo-27-055-g001.jpg," Airway (black line) to soft palate (white line) ratio method of assessing adenoid enlargement on lateral neck radiography as described by Cohen and Konak
"
ROCO_00184,PMC3912782_jkaoms-39-257-g006.jpg," Case 2, tibial fracture.
"
ROCO_00186,PMC3654115_kcj-43-265-g003.jpg," After stent placement, angiogram showed good dilatation of the common iliac artery.
"
ROCO_00187,PMC3994265_ce-47-197-g002.jpg," Endoscopic ultrasound findings. An approximately 1×1-cm heterogeneous hypoechoic tumor with well-demarcated border (arrows) was found on the submucosal layer.
"
ROCO_00191,PMC5018627_WJCC-4-285-g002.jpg," Lower second molar mesial angular periodontal defect.
"
ROCO_00200,PMC4286728_pi-2-4-169f1.jpg," Axial apparent diffusion coefficient map shows focal low signal intensity nodule (arrow) at right peripheral zone, which was graded 5.
"
ROCO_00205,PMC4053630_EJD-7-377-g005.jpg," Intraoral periapical view at 1 month showing resolution of cystic defect
"
ROCO_00215,PMC3123199_1757-7241-19-34-2.jpg," Coronal view. Penetrating object caudal to the bladder. 1 bladder. 2 spine. 3 penetrating object.
"
ROCO_00221,PMC3605326_1745-9974-9-9-3.jpg," CT scan of thorax in a patient with IPF showing typical basal, sub-pleural, honeycomb shadowing and traction bronchiectasis.
"
ROCO_00223,PMC3830809_CRIM.DENTISTRY2013-631378.007.jpg," It shows the OPG with deformities in the mandible and partial anodontia.
"
ROCO_00224,PMC3347491_SNI-3-44-g003.jpg," Post-operative (1.5 year) sagittal T1-weighted MRI with gadolinium contrast
"
ROCO_00227,PMC5260622_12471_2016_930_Fig3_HTML.jpg," Steering and positioning of the MitraClip delivery system in the left atrium. The Clip Delivery System (CDS) is advanced until its tip is even with the guide tip under fluoroscopic guidance. The CDS is further advanced until the guide radiopaque tip ring marker is centred between the sleeve alignment markers with confirmation on fluoroscopy (straddling)
"
ROCO_00228,PMC4347730_iranjradiol-11-04-11069-g002.jpg," Axial contrast enhanced CT images on the level of lower supernumerary kidneys with marked rotation anomaly
"
ROCO_00229,PMC3927115_PWKI-9-21739-g002.jpg," Vessel is straightened with two floppy guidewires and a balloon delivery system
"
ROCO_00256,PMC5029998_AJUM-16-124-g003.jpg," Post void TAU image of the cervix with the empty bladder alleviates the artifactual lengthening of the cervix, and it has a normal curved appearance with a cervical length measurement of 41.3 mm.
"
ROCO_00268,PMC5458704_JOCR-7-75-g001.jpg," Anteroposterior radiograph of the left thigh showing a proximal third diaphyseal lesion of the left femur. Note the aggressive features represented by the ill-defined margins with a wide zone of transition, cortical erosion and circumferential onion skin appearance denoting moderately aggressive periosteal reaction.
"
ROCO_00278,PMC4944058_CRIM2016-4678637.001.jpg," AP chest radiograph showing extensive bilateral reticular-fibrotic pattern with honeycombing and a 2.17 cm nodule in right upper lobe of his lungs.
"
ROCO_00299,PMC5045543_omw078f03.jpg," MRI neck showing swelling and hyper intense signal in right half of tongue (arrow).
"
ROCO_00324,PMC3102882_jkms-26-836-g001.jpg," Pelvic computed tomography. A 5.1 × 4 cm-sized, well-defined solid mass with multiple calcifications and fat density is noted in right adnexa (arrow).
"
ROCO_00353,PMC3065437_1748-7161-6-3-3.jpg," Axial CT image. Axial CT image at T10 indicating the atrophy of vertebral bodies and invasion of the hemangioma.
"
